;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
1278;hh.ru;;;;1C-Битрикс (PHP-программист - Web-разработчик) удаленно;https://spb.hh.ru/vacancy/38529396?query=php; ВОГ, Торговая компания;https://hh.ru/employer/90597;Санкт-Петербург;
1279;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537087?query=php; Сassoft;https://hh.ru/employer/3964417;Челябинск;руб.
1280;hh.ru;80000;;;Разработчик JS + PHP (fullstack);https://spb.hh.ru/vacancy/38603319?query=php;ИП Быков Я.А.;https://hh.ru/employer/593353;Санкт-Петербург;руб.
1281;hh.ru;37500;70000;;Web-программист;https://spb.hh.ru/vacancy/38587911?query=php;ООО Рыббла;https://hh.ru/employer/2064382;Челябинск;руб.
1282;hh.ru;;;;Web-разработчик Битрикс;https://spb.hh.ru/vacancy/38678925?query=php; АйПи Системс;https://hh.ru/employer/646702;Нижний Новгород;
1283;hh.ru;150000;300000;;Full-stack разработчик (PHP);https://spb.hh.ru/vacancy/38642383?query=php;ТОО Асистент;https://hh.ru/employer/2843993;Алматы;KZT
1284;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537092?query=php; Сassoft;https://hh.ru/employer/3964417;Екатеринбург;руб.
1285;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537088?query=php; Сassoft;https://hh.ru/employer/3964417;Краснодар;руб.
1286;hh.ru;;;;PHP-разработчик;https://spb.hh.ru/vacancy/38512767?query=php;ООО ИК СИБИНТЕК;https://hh.ru/employer/197135;Рязань;
1287;hh.ru;40000;;;Веб-программист;https://spb.hh.ru/vacancy/38532429?query=php;ООО Компания Графикс;https://hh.ru/employer/1170673;Красноярск;руб.
1288;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537085?query=php; Сassoft;https://hh.ru/employer/3964417;Самара;руб.
1289;hh.ru;50000;;;Front-end разработчик - HTML верстальщик;https://spb.hh.ru/vacancy/38599059?query=php; i20;https://hh.ru/employer/720860;Новосибирск, Площадь Ленина;руб.
1290;hh.ru;;;;Преподаватель курса Веб-разработчик (html, css, js, php);https://spb.hh.ru/vacancy/38535882?query=php; Nordic IT School;https://hh.ru/employer/3412126;Москва, Комсомольская и еще 2 ;
1291;hh.ru;35000;50000;;PHP-разработчик;https://spb.hh.ru/vacancy/38128607?query=php;ООО ЭТП-Агро;https://hh.ru/employer/3287735;Белгород;руб.
1292;hh.ru;;;;Web-программист 1С-Битрикс;https://spb.hh.ru/vacancy/38745275?query=php; Системный Администратор;https://hh.ru/employer/1120251;Самара;
1293;hh.ru;50000;80000;;Веб-программист/Верстальщик;https://spb.hh.ru/vacancy/38492394?query=php;ООО Софт Медиа Групп;https://hh.ru/employer/907268;Москва, Павелецкая;руб.
1294;hh.ru;;;;1C-Битрикс / PHP-программист - Web-разработчик (удаленно);https://spb.hh.ru/vacancy/38529355?query=php; ВОГ, Торговая компания;https://hh.ru/employer/90597;Москва;
1295;hh.ru;24000;32000;;WEB контент-менеджер (HTML наполнение сайтов, веб интернет);https://spb.hh.ru/vacancy/38601206?query=php; Компания Бревис;https://hh.ru/employer/3886118;Тула;руб.
1296;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537086?query=php; Сassoft;https://hh.ru/employer/3964417;Новосибирск;руб.
1297;hh.ru;25000;;;Веб-разработчик;https://spb.hh.ru/vacancy/38500785?query=php; German web;https://hh.ru/employer/2056184;Таганрог;руб.
1298;hh.ru;;;;Ведущий PHP разработчик/ Senior PHP Developer (удаленно);https://spb.hh.ru/vacancy/37974639?query=php; Simtech Development;https://hh.ru/employer/570957;Ульяновск;
1299;hh.ru;;;;Web-разработчик Битрикс;https://spb.hh.ru/vacancy/38788980?query=php; АйПи Системс;https://hh.ru/employer/646702;Нижний Новгород;
1300;hh.ru;95000;;;Программист PHP;https://spb.hh.ru/vacancy/38462875?query=php;АО Концерн Созвездие;https://hh.ru/employer/935196;Воронеж;руб.
1301;hh.ru;45000;;;Веб-программист;https://spb.hh.ru/vacancy/37434517?query=php; Tian Group;https://hh.ru/employer/2589639;Челябинск;руб.
1302;hh.ru;60000;70000;;Web-программист (Full Stack);https://spb.hh.ru/vacancy/38506620?query=php; HR Development;https://hh.ru/employer/4508336;Барнаул;руб.
1303;hh.ru;30000;40000;;Full-stack Web-программист;https://spb.hh.ru/vacancy/38547984?query=php;ООО ДонИнтернет;https://hh.ru/employer/1873609;Ростов-на-Дону;руб.
1304;hh.ru;25000;;;PHP-программист;https://spb.hh.ru/vacancy/38537091?query=php; Сassoft;https://hh.ru/employer/3964417;Тюмень;руб.
1305;hh.ru;50000;;;Веб-разработчик (php программист) 1С-Битрикс;https://spb.hh.ru/vacancy/38602059?query=php; Mibok,  Internet Agency;https://hh.ru/employer/192803;Москва, Крестьянская застава и еще 2 ;руб.
1306;hh.ru;40000;50000;;Программист PHP / PHP developer junior;https://spb.hh.ru/vacancy/38548702?query=php; We Make Fab;https://hh.ru/employer/779168;Санкт-Петербург, Невский проспект;руб.
1307;hh.ru;;;;PHP-программист (SEO-правки);https://spb.hh.ru/vacancy/38511662?query=php; Demis Group;https://hh.ru/employer/59729;Ростов-на-Дону;
1308;hh.ru;;;;Веб-разработчик;https://spb.hh.ru/vacancy/38623593?query=php; Coral Club;https://hh.ru/employer/1307995;Москва;
1309;hh.ru;60000;;;WEB Программист PHP 1С-Битрикс (удаленно);https://spb.hh.ru/vacancy/38494682?query=php;ООО VIS.center;https://hh.ru/employer/1904255;Витебск;руб.
1310;hh.ru;;;;Middle/Senior backend-developer (SQL, PHP);https://spb.hh.ru/vacancy/38535691?query=php;ИП Projector;https://hh.ru/employer/2925542;Алматы;
1311;hh.ru;40000;90000;;Программист PHP Битрикс;https://spb.hh.ru/vacancy/38007720?query=php; Libercode;https://hh.ru/employer/2188510;Санкт-Петербург, Чёрная речка;руб.
1312;hh.ru;80000;;;Web-программист на modx (в офис / удаленно);https://spb.hh.ru/vacancy/38515120?query=php;ООО Русские корни;https://hh.ru/employer/2015960;Москва, Свиблово;руб.
1313;hh.ru;;;;Веб-программист;https://spb.hh.ru/vacancy/38551368?query=php;АО Дочерний Банк «Казахстан-Зираат Интернешнл Банк;https://hh.ru/employer/2117686;Алматы;
1314;hh.ru;;50000;;Web-программист opencart;https://spb.hh.ru/vacancy/38600192?query=php;ООО Альянс;https://hh.ru/employer/1793231;Санкт-Петербург, Елизаровская;руб.
1315;hh.ru;25000;40000;;Web-программист (Junior);https://spb.hh.ru/vacancy/22416573?query=php; Agile Digital Lab;https://hh.ru/employer/2646380;Барнаул;руб.
1316;hh.ru;2500;4000;;Back-end developer (PHP);https://spb.hh.ru/vacancy/38966255?query=php; OXGAMING;https://hh.ru/employer/3775079;Киев;USD
1317;hh.ru;700;1500;;Back-end разработчика PHP;https://spb.hh.ru/vacancy/38975494?query=php;ООО Amedia Cloud Technologies;https://hh.ru/employer/2441308;Ташкент;USD
1318;hh.ru;;;;PHP developer (Symfony);https://spb.hh.ru/vacancy/37844407?query=php; Аристек Системс;https://hh.ru/employer/1339909;Минск, Московская и еще 2 ;
1319;hh.ru;;1000;;Junior HTML-верстальщик;https://spb.hh.ru/vacancy/39047599?query=php;ИП Пракопенко В.В;https://hh.ru/employer/3124945;Гомель;бел.руб.
1320;hh.ru;1500;2500;;PHP (Laravel) - программист;https://spb.hh.ru/vacancy/38903018?query=php;ООО MOD CO;https://hh.ru/employer/4311869;Ташкент;USD
