;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
1728;hh.ru;;;;Эксперт по разработке и сопровождению интеграции на платформе IBM Integration Bus;https://spb.hh.ru/vacancy/38243061?query=java;ПАО НОВАТЭК;https://hh.ru/employer/1808;Москва, Проспект Вернадского;
1729;hh.ru;;;;Разработчик bpmn;https://spb.hh.ru/vacancy/38452041?query=java;ООО СевенПро;https://hh.ru/employer/3102126;Москва, Павелецкая;
1730;hh.ru;;;;DevOps инженер Платформа ГосТех;https://spb.hh.ru/vacancy/38342626?query=java;АО Сбербанк - Технологии;https://hh.ru/employer/906557;Москва;
1731;hh.ru;;;;Java Architect/Java Lead Developer;https://spb.hh.ru/vacancy/35264526?query=java; НИИ «Восход»;https://hh.ru/employer/154761;Москва, Проспект Вернадского;
1732;hh.ru;220000;;;QA engineer - dbAces;https://spb.hh.ru/vacancy/38346475?query=java; Deutsche Bank Technology Center;https://hh.ru/employer/1641540;Москва, Новокузнецкая и еще 2 ;руб.
1733;hh.ru;40000;;;Web-программист по 1С Битрикс;https://spb.hh.ru/vacancy/38814976?query=java; Web-студия Internet-Team;https://hh.ru/employer/2331151;Москва;руб.
1734;hh.ru;;;;Разработчик сервисной платформы Java;https://spb.hh.ru/vacancy/38818367?query=java; Selecty;https://hh.ru/employer/2406247;Москва;
1735;hh.ru;81000;130000;;Разработчик C++;https://spb.hh.ru/vacancy/38794821?query=java; Diasoft;https://hh.ru/employer/154;Москва;руб.
1736;hh.ru;;;;Младший инженер;https://spb.hh.ru/vacancy/38273811?query=java; КРОК;https://hh.ru/employer/2987;Москва, Площадь Ильича и еще 1 ;
1737;hh.ru;220000;;;C++ developer - Quantum;https://spb.hh.ru/vacancy/38343227?query=java; Deutsche Bank Technology Center;https://hh.ru/employer/1641540;Москва, Новокузнецкая и еще 2 ;руб.
1738;hh.ru;;;;QA Auto Engineer (удаленно /офис);https://spb.hh.ru/vacancy/38269033?query=java; AWG;https://hh.ru/employer/819979;Москва, Технопарк;
1739;hh.ru;;;;Разработчик Android (Рамблер / Касса & Афиша);https://spb.hh.ru/vacancy/38851460?query=java; Rambler Group;https://hh.ru/employer/8620;Москва, Тульская;
1740;hh.ru;;;;Backend разработчик Java (Tarantool);https://spb.hh.ru/vacancy/37137812?query=java;АО Рамакс Интернейшнл;https://hh.ru/employer/142514;Москва;
1741;hh.ru;;;;Архитектор Data Lake;https://spb.hh.ru/vacancy/38575923?query=java; Инфосистемы Джет;https://hh.ru/employer/3095;Москва, Савеловская;
1742;hh.ru;;;;Старший специалист по тестированию на проникновение (pentest);https://spb.hh.ru/vacancy/35278719?query=java; Инфосистемы Джет;https://hh.ru/employer/3095;Москва, Савеловская;
1743;hh.ru;;;;QA автоматизатор;https://spb.hh.ru/vacancy/38794208?query=java; Right Line;https://hh.ru/employer/3649870;Москва;
