;website;salary_min;salary_max;salary_comment;vacancy_name;vacancy_url;employer_name;employer_url;location;salary_currency
132;hh.ru;;;;Data Scientist (Центр валидации моделей сервисных блоков и экосистемы);https://spb.hh.ru/vacancy/38303563?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
133;hh.ru;;;;Data scientist (Маркетинг);https://spb.hh.ru/vacancy/38560676?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
134;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38504146?query=data%20scientist; МАГНИТ, Розничная сеть;https://hh.ru/employer/49357;Москва;
135;hh.ru;;;;Data Scientist в Марусю (Voice Recognition);https://spb.hh.ru/vacancy/37674162?query=data%20scientist; Mail.ru Group;https://hh.ru/employer/15478;Москва;
136;hh.ru;;;;Data scientist (Центр валидации моделей КИБ);https://spb.hh.ru/vacancy/38327400?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
137;hh.ru;;;;Data Scientist на проекты по анализу текстов и новостей;https://spb.hh.ru/vacancy/38071205?query=data%20scientist; Банк ВТБ (ПАО);https://hh.ru/employer/4181;Москва;
138;hh.ru;;130000;;Senior Data Scientist (обработка текстов, машинное обучение), г. Сочи;https://spb.hh.ru/vacancy/38157808?query=data%20scientist; ГК «ВИЗАВИ Консалт»;https://hh.ru/employer/1326;Москва;руб.
139;hh.ru;;;;Аналитик/Data Scientist;https://spb.hh.ru/vacancy/38543681?query=data%20scientist;ООО Инновационная мобильность;https://hh.ru/employer/3308706;Москва;
140;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38168624?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
141;hh.ru;;;;Руководитель направления дата аналитики/data science;https://spb.hh.ru/vacancy/38664924?query=data%20scientist; ABCstaff;https://hh.ru/employer/3544865;Москва;
142;hh.ru;;;;Аналитик / Data Scientist;https://spb.hh.ru/vacancy/38602231?query=data%20scientist;ООО КНС ГРУПП;https://hh.ru/employer/1993194;Москва, Краснопресненская и еще 1 ;
143;hh.ru;;;;Senior data scientist;https://spb.hh.ru/vacancy/37601041?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
144;hh.ru;;;;Data scientist (Центр валидации моделей банковской и торговой книги);https://spb.hh.ru/vacancy/38319280?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
145;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/38576353?query=data%20scientist; MAXIMUM EDUCATION;https://hh.ru/employer/1159470;Москва, Курская;
146;hh.ru;;;;Senior data scientist;https://spb.hh.ru/vacancy/38487983?query=data%20scientist; Eqvanta;https://hh.ru/employer/3785152;Москва;
147;hh.ru;;;;Data scientist (Центр валидации моделей розничного бизнеса);https://spb.hh.ru/vacancy/38307238?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва, Кутузовская и еще 1 ;
148;hh.ru;;;;Data Scientist (Middle/Senior) - моделирование кредитных рисков корпоративных клиентов (Блок Риски);https://spb.hh.ru/vacancy/33462158?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
149;hh.ru;;;;Senior Data Scientist в команду «Департамента Маркетинга и Коммуникаций»;https://spb.hh.ru/vacancy/38646827?query=data%20scientist; Сбербанк для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof;Москва;
150;hh.ru;;;;Senior Data Scientist в команду Retail FX;https://spb.hh.ru/vacancy/38343485?query=data%20scientist; Райффайзенбанк;https://hh.ru/employer/4023;Москва, Технопарк;
151;hh.ru;;;;Lead Data Scientist управления финансовых моделей (Big data);https://spb.hh.ru/vacancy/37688243?query=data%20scientist; Банк ВТБ (ПАО);https://hh.ru/employer/4181;Москва;
152;hh.ru;;;;Главный риск-аналитик Data Scientist (Дирекция рисков);https://spb.hh.ru/vacancy/38601663?query=data%20scientist;ПАО Промсвязьбанк;https://hh.ru/employer/6591;Москва, Павелецкая;
153;hh.ru;;;;Senior Data Scientist/Lead Data Scientist;https://spb.hh.ru/vacancy/38455032?query=data%20scientist; Группа компаний SRG;https://hh.ru/employer/39563;Москва, Электрозаводская;
154;hh.ru;;;;Senior Data Scientist;https://spb.hh.ru/vacancy/38621236?query=data%20scientist; Rambler Group;https://hh.ru/employer/8620;Москва, Тульская;
155;hh.ru;;;;Big data developer/data engineer (middle/senior);https://spb.hh.ru/vacancy/36426931?query=data%20scientist;ООО Ростелеком Информационные Технологии;https://hh.ru/employer/3144945;Москва, Новокузнецкая;
156;hh.ru;;;;Team Lead data scientist (коммерческое направление);https://spb.hh.ru/vacancy/38004748?query=data%20scientist;ПАО МегаФон, IT;https://hh.ru/employer/3127?dpt=mgfn-3127-it;Москва, Маяковская и еще 2 ;
157;hh.ru;;40000;;Младший аналитик данных (junior data scientist);https://spb.hh.ru/vacancy/39016271?query=data%20scientist;ООО СРМ Солюшнс;https://hh.ru/employer/2700550;Москва;руб.
158;hh.ru;;;;Data Scientist;https://spb.hh.ru/vacancy/37559909?query=data%20scientist; Тинькофф;https://hh.ru/employer/78638;Москва;
159;hh.ru;;;;Младший специалист Data Scientist;https://spb.hh.ru/vacancy/38852806?query=data%20scientist; Северсталь. ИТ Компания;https://hh.ru/employer/6041?dpt=severstal-6041-it;Москва;
160;hh.ru;;;;Стажер data scientist;https://spb.hh.ru/vacancy/38502536?query=data%20scientist; Сибур;https://hh.ru/employer/3809?dpt=sbr-3809-sibb;Москва;
161;hh.ru;;;;Senior Data Engineer;https://spb.hh.ru/vacancy/37637853?query=data%20scientist; PROFI.RU;https://hh.ru/employer/83639;Москва, Аэропорт;
162;hh.ru;;;;Middle / Senior Data Science;https://spb.hh.ru/vacancy/39032369?query=data%20scientist; Северсталь. Управляющая компания;https://hh.ru/employer/6041?dpt=severstal-6041-MAIN;Москва;
